,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,SNA price valuation,Lending category,System of National Accounts,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,Recent VALUES,Indicator Code,Topic,Indicator Name,Limitations and exceptions,Statistical concept and methodology
210,HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,,Europe & Central Asia,High income,HU,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Integrated household survey (IHS), 2014",2010,2013.0,2016.0,2012.0,26.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
211,IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The base year is 2010. Price valuation is in basic prices.,East Asia & Pacific,Lower middle income,ID,2010,Value added at producer prices (VAP),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2014",2013,2013.0,2016.0,2000.0,32.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
212,IND,India,India,Republic of India,IN,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.,South Asia,Lower middle income,IN,2011/12,Value added at basic prices (VAB),IBRD,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2011/12",2010/11,2014.0,2016.0,2010.0,7.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
213,IRL,Ireland,Ireland,Ireland,IE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IE,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Integrated household survey (IHS), 2012",2010,2012.0,2016.0,2009.0,54.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
214,IRN,Iran,"Iran, Islamic Rep.",Islamic Republic of Iran,IR,Iranian rial,"Fiscal year end: March 20; reporting period for national accounts data: FY. Based on data from the Central Bank of Iran, the new base year is 2011/12.",Middle East & North Africa,Upper middle income,IR,2011,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Iran’s Multiple Indicator Demographic and Health Survey, 2010","Expenditure survey/budget survey (ES/BS), 2013",2014,2014.0,2016.0,2004.0,96.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
215,IRQ,Iraq,Iraq,Republic of Iraq,IQ,Iraqi dinar,"Based on official government statistics, the new base year is 2007.",Middle East & North Africa,Upper middle income,IQ,2007,Value added at basic prices (VAB),IBRD,Country uses the 1968 System of National Accounts methodology,2011,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1997,"Living Standards Measurement Study, 2012","Integrated household survey (IHS), 2012",2011/12,2011.0,2016.0,2000.0,148.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
216,ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,,Europe & Central Asia,High income,IS,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Integrated household survey (IHS), 2012",2010,2005.0,2016.0,2014.0,94.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
217,ISR,Israel,Israel,State of Israel,IL,Israeli new shekel,,Middle East & North Africa,High income,IL,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,2011,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2009. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2010",,2014.0,2016.0,2004.0,35.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
218,ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IT,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2012. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Income survey (IS), 2012",2010,2014.0,2016.0,2008.0,4.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
219,JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,Expenditure data from 2010 removed as they are estimates.,Middle East & North Africa,Lower middle income,JO,1994,Value added at basic prices (VAB),IBRD,Country uses the 1968 System of National Accounts methodology,2011,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2012","Expenditure survey/budget survey (ES/BS), 2010",2007,2013.0,2016.0,2005.0,65.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
220,JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,Original chained constant price data are rescaled.,Value added at basic prices (VAB),,Country uses the 2008 System of National Accounts methodology,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2015,,"Integrated household survey (IHS), 2008",2010,2012.0,2016.0,2009.0,2.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
221,KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,Value added at basic prices (VAB),IBRD,Country uses the 1993 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",2006/07,2013.0,2016.0,2010.0,89.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
222,KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,KE,2009,Value added at basic prices (VAB),IDA Blend,Country uses the 2008 System of National Accounts methodology,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Malaria Indicator Survey, 2015","Integrated household survey (IHS), 2005/06",,2013.0,2016.0,2010.0,81.0,EF.EFM.RANK.XD,Economic Policy & Debt,"Economic Fitness Ranking (1 = high, 149 = low)","The trade data are necessary to define a coherent network for all countries and all products. This may have some limitations for countries in which the exported products are not a good proxy of its industrial competitiveness. Also export refers generally to manufacturing. Services can be included but the corresponding database trade in services are less granular. In principle the approach could use other data like the labor statistics which automatically include all services. A basic concept of the algorithm is the importance of diversification. This is correct at the level of countries but it becomes gradually problematic if one moves to smaller scales like regions, cities up to individual firms where specialization becomes dominant. In these cases suitable modifications should be considered.  The COMTRADE dataset comes at different levels of granularity. Each level has advantages and disadvantages which should be considered in relation to the problem addressed.","The new literature of Economic Fitness uses techniques which, differently from traditional index construction approaches, do not try to average out the complexity of the system, but embraces it by explicitly building on the heterogeneity of individual actors, activities and interactions to extract relevant parameters to characterize the system.  In this way, information about production capabilities may be extracted from trade in goods.  The interaction among products traded, and the relatively unique combinations are a precursor to future competitiveness and long-term growth.   A basic characteristic of Economic Fitness is being parameter free. The standard methods of analysis consider many elements and sum them up in some suitable way. This sum of incommensurate elements leads to a major problem of controlling noise while increasing signal. The Fitness approach starts by considering a single dataset to control noise problems.  Other data can then be added later in a controlled hierarchical framework 9e.g, services, technologies). The algorithm is designed on simple and transparent economical concepts which have a clear meaning and have been extensively tested. The evolution of each country is defined in the GDP-Fitness space which shows a strong heterogeneity in the dynamics. There is zone characterized by regular flow and another one which is more chaotic. This implies that growth forecasting should consider this heterogeneity and go beyond standard regressions. This novel approach to the analysis and long-term forecasting has been shown to outperform the standard methods even if it requires much less data."
