Account No,Organisation,City,Country,Region,Access,C40,Reporting Year,Risks to city's water supply,Adaptation action,Action description,City Location
50568,City of Saskatoon,Saskatoon,Canada,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,NA,"(52.1332, -106.67)"
50568,City of Saskatoon,Saskatoon,Canada,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,NA,"(52.1332, -106.67)"
50568,City of Saskatoon,Saskatoon,Canada,North America,public,,2018,Declining water quality,Conservation awareness and education,NA,"(52.1332, -106.67)"
50568,City of Saskatoon,Saskatoon,Canada,North America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),NA,"(52.1332, -106.67)"
50568,City of Saskatoon,Saskatoon,Canada,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,NA,"(52.1332, -106.67)"
50568,City of Saskatoon,Saskatoon,Canada,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,NA,"(52.1332, -106.67)"
50578,City of Windsor,Windsor,Canada,North America,public,,2018,Declining water quality,Stormwater management (natural or man-made infrastructure),"Through education as well as infrastructure improvements, the City of Windsor is looking to reduce the negative impacts of stormwater into the Detroit River through addressing combined sewer overflows.  The City has installed a Retention Treatment Basin to manage a large portion of the combined sewer overflows to the Detroit River, the City also continues to separate sewers.  Awareness campaigns are used to educate the public about the use of the sewer system.  The City of Windsor is also partners with the Detroit River Canadian Clean Up organizations.  Source water protection plans are also in place to protect drinking water supplies.","(42.3149, -83.0364)"
50578,City of Windsor,Windsor,Canada,North America,public,,2018,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),The City of Windsor is investigating the use of green infrastructure to manage rainwater where it falls.  This addresses declining water quality as well as maintains the water balance in our natural spaces and across the City.,"(42.3149, -83.0364)"
50578,City of Windsor,Windsor,Canada,North America,public,,2018,Declining water quality,Watershed preservation,The Essex Region Conservation Authority manages a Source Water Protection plan on behalf of the municipalities within Essex County.  This plan primarily addresses land uses that may lead to an increase risk to drinking water.  There is also a public education component associated with this plan.,"(42.3149, -83.0364)"
50665,MunicÃ­pio de Ovar,Ovar,Portugal,Europe,public,,2018,NA,Conservation awareness and education,Environmental Education Activities,"(40.8901, -8.59723)"
50665,MunicÃ­pio de Ovar,Ovar,Portugal,Europe,public,,2018,NA,Conservation awareness and education,Environmental Education Activities,"(40.8901, -8.59723)"
50672,MunicÃ­pio de SantarÃ©m,SantarÃ©m,Portugal,Europe,public,,2018,NA,Conservation awareness and education,NA,"(39.2367, -8.68599)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Increased water stress or scarcity,Municipal water efficiency retrofits,NA,"(38.9389, 121.567)"
50680,MunicÃ­pio de Cascais,Cascais,Portugal,Europe,public,,2018,Declining water quality,Conservation awareness and education,Public awareness of water resources valorization Rehabilitation and maintenance on supply network infrastructure Adoption of an incentive tariff scheme for efficient use of water,"(38.697, -9.42229)"
50680,MunicÃ­pio de Cascais,Cascais,Portugal,Europe,public,,2018,NA,Watershed preservation,"Improving flow conditions in critical areas (bridges, aqueducts and other runoff bottlenecks) Improving forecasting and alert situations systems of floods and emergencyâ€™s management Construction of storage infrastructure for fitting of flood volumes and attenuation of flood stream Deviation of flood volume of populated areas and controlled flooding of localized areas Relocation of goods and people from areas of high flood risk Clearing rainwater runoff from backyards, balconies and gutters of housing systemâ€™s roofs Reduction of impermeable surfaces","(38.697, -9.42229)"
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,public,C40,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),Rain water harvesting & River water can be purified and supply for city dwellers. Govt. has some following Law/policy/st\trategy: â€¢ National Policy for Safe Water Supply & Sanitation 1998. â€¢ National Sanitation Strategy 2005 â€¢ Water body preservation law 2000,"(23.8103, 90.4125)"
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,public,C40,2018,NA,Stormwater management (natural or man-made infrastructure),Embankment is constructed around Dhaka City to protect flood water.,"(23.8103, 90.4125)"
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,public,C40,2018,Declining water quality,NA,NA,"(23.8103, 90.4125)"
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,public,C40,2018,Inadequate or aging infrastructure,NA,NA,"(23.8103, 90.4125)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Projeto JUCA-VIVO, contribuiu para a proteÃ§Ã£o e conservaÃ§Ã£o dos Parques Juquery e Cantareira com a preservaÃ§Ã£o, balanÃ§o ecolÃ³gico e saÃºde pÃºblica.","(-23.3612, -46.7402)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,public,,2018,Inadequate or aging infrastructure,Municipal water efficiency retrofits,Durante o decorrer do ano grande parte dos bairros de Caieiras teve suas tubulaÃ§Ãµes do sistema de drenagem urbana revitalizados e trocados.,"(-23.3612, -46.7402)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,public,,2018,Higher water prices,Stormwater management (natural or man-made infrastructure),Aumento na conta de Ã¡gua e luz.,"(-23.3612, -46.7402)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),"AlÃ©m da manutenÃ§Ã£o do sistema de drenagem e desobstruÃ§Ã£o das bocas de lodo, monitoramento das Ã¡reas de risco e reuniÃµes tÃ©cnicas para estudar alternativas sobre.","(-23.3612, -46.7402)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,public,,2018,Increased water stress or scarcity,Conservation incentives,"O municÃ­pio vem trabalhando em algumas frentes para ajudar no combate ao problema, a elaboraÃ§Ã£o do Plano de Saneamento da capital, o incentivo a criaÃ§Ã£o de Ã¡reas verdes e a implementaÃ§Ã£o da coleta seletiva de resÃ­duos sÃ³lidos.","(-10.9472, -37.0731)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,public,,2018,Declining water quality,Conservation incentives,"O municÃ­pio vem trabalhando em algumas frentes para ajudar no combate ao problema, a elaboraÃ§Ã£o do plano de saneamento da capital, o incentivo a criaÃ§Ã£o de Ã¡reas verdes e a implementaÃ§Ã£o da coleta seletiva de resÃ­duos sÃ³lidos.","(-10.9472, -37.0731)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,public,,2018,Higher water prices,Water use restrictions,"A SEMA - Secretaria Municipal do meio Ambiente, atravÃ©s da sua coordenaÃ§Ã£o de educaÃ§Ã£o ambiental, vem fazendo um trabalho junto Ã s comunidades locais, alertando para importÃ¢ncia do uso racional do recurso para evitar desperdÃ­cio e com isso manter equilibrada a oferta e a demanda pela Ã¡gua.","(-10.9472, -37.0731)"
52894,City of Winston-Salem,Winston-Salem,United States of America,North America,public,,2018,Increased water stress or scarcity,Municipal water efficiency retrofits,Upgrading water system with energy efficient motors throughout the system.,"(36.0999, -80.2442)"
53921,"City of Tempe, AZ",Tempe,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation incentives,We offer a number of rebates for water conservation practices such as removing grass lawns and installing low flow water fixtures.,"(33.4255, -111.94)"
53921,"City of Tempe, AZ",Tempe,United States of America,North America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),Installing or improving stormwater management systems such as water retention areas and absorbent pavement.,"(33.4255, -111.94)"
53921,"City of Tempe, AZ",Tempe,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation incentives,We offer a number of rebates for water conservation practices such as removing grass lawns and installing low flow water fixtures.,"(33.4255, -111.94)"
53921,"City of Tempe, AZ",Tempe,United States of America,North America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),Installing or improving stormwater management systems such as water retention areas and absorbent pavement.,"(33.4255, -111.94)"
53959,"City of Fayetteville, AR",Fayetteville,United States of America,North America,public,,2018,Increased water stress or scarcity,Watershed preservation,"The Beaver Water District has developed a Source Water Protection Plan that lays out goals and strategies for protecting the public health.  â€¢ Goal 1: Protect Public Health. Strategies include: in-lake monitoring and assessment, emergency response, coliform management, disinfection by-product management and research.   â€¢ Goal 2: Maintain Water Quality. This is accomplished through tributary monitoring, watershed protection strategies, regulatory compliance and research. â€¢ Goal 3: Community Leadership. Strategies include; stakeholder involvement, public awareness, technical and financial assistance, planning and adaptive management.  The Beaver Water District adopted his plan in 2012 and approved the creation of a Source Water Protection Fund.","(36.0821, -94.1719)"
53959,"City of Fayetteville, AR",Fayetteville,United States of America,North America,public,,2018,Declining water quality,Stormwater management (natural or man-made infrastructure),The City has had a Low Impact Development stormwater ordinance for about 10 years. Recently the City adopted an updated Drainage Criteria Manual that prescribes LID practices: https://www.fayetteville-ar.gov/DocumentCenter/View/2248/Drainage-Criteria-Manual-2014-PDF,"(36.0821, -94.1719)"
54066,City of Fort Collins,Fort Collins,United States of America,North America,public,,2018,Increased water stress or scarcity,NA,"Fort Collins has numerous formal and regularly-updated Plans in place to ensure strategies and actions are in place to protect and reduce risk to the communityâ€™s water supply. These include the Water Supply and Demand Management Plan, Water Efficiency Plan and a Source Watershed Protection Plan. These Plans are created with multiple local and regional stakeholders. Some specific strategies include: ongoing water quality monitoring, pre-sedimentation basin (post fire water quality protection), restoration activities, incentivizing products and providing water efficiency technical support to both residents and businesses. Additionally, the City of Fort Collins is in the NEPA permitting process to expand Halligan Reservoir to add much needed water storage to our system.","(40.5853, -105.084)"
54066,City of Fort Collins,Fort Collins,United States of America,North America,public,,2018,Declining water quality,NA,"Fort Collins has numerous formal and regularly-updated Plans in place to ensure strategies and actions are in place to protect and reduce risk to the communityâ€™s water supply. These include the Water Supply and Demand Management Plan, Water Efficiency Plan and a Source Watershed Protection Plan. These Plans are created with multiple local and regional stakeholders. Some specific strategies include: ongoing water quality monitoring, pre-sedimentation basin (post fire water quality protection), restoration activities, incentivizing products and providing water efficiency technical support to both residents and businesses. Additionally, the City of Fort Collins is in the NEPA permitting process to expand Halligan Reservoir to add much needed water storage to our system.","(40.5853, -105.084)"
54075,City of Lakewood,Lakewood,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Lakewood provides education information for the public, is conservative in its water use in City parks, and uses xeriscape principles in its medians and on other city property.","(39.7047, -105.081)"
54075,City of Lakewood,Lakewood,United States of America,North America,public,,2018,Declining water quality,Watershed preservation,"The City is a member of the Bear Creek Watershed Management Association and works to carry out the Bear Creek Watershed Plan, which includes monitoring, technical assistance, education, and other strategies to improve water quality.","(39.7047, -105.081)"
54075,City of Lakewood,Lakewood,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),The City increased its stormwater utility service charge to accelerate drainage improvements that will reduce flooding. The City considers green infrastructure technologies when designing new stormwater improvements.,"(39.7047, -105.081)"
54078,City of Hayward,Hayward,United States of America,North America,public,,2018,Increased water stress or scarcity,Water use restrictions,Hayward residents have reduced water use by roughly 21% since June 2015 due to voluntary measures and increases in water rates. The San Francisco Public Utilities Commission asks customers to voluntarily reduce their consumption by 10%.,"(37.6689, -122.081)"
54078,City of Hayward,Hayward,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation incentives,"Hayward offers free faucet aerators and efficient showerheads. The City also participates in regional programs to incentive efficient landscaping, turf removal, toilets, and water catchment (rain barrels). Some City facilities, such as the Utilities Building, and traffic medians have received a 'makeover' with the installation of water efficient landscaping.","(37.6689, -122.081)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Declining water quality,Conservation awareness and education,"We are exploring alternatives to traditional de-icing methods, and encouraging the same in new developments.","(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Increased water stress or scarcity,Efficiency regulations or standards,We are writing policies to address water quantity risk as per the Source Water Protection Program.,"(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Inadequate or aging infrastructure,Other: Asset management,"We are improving our approach to asset management planning, including implementation of our award-winning Corporate Asset Management Plan.","(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Regulatory,Other: Compliance,"In addition to monitoring proposed regulations and assessing their impact, we participate in public consultations where we have the potential to influence the final form of regulation.","(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Increased water demand,Efficiency regulations or standards,"The City completes Water Supply Master Planning, and sets targets for water conservation. To achieve these targets, programs are outlined in our award-winning Water Efficiency Strategy.","(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Energy supply issues,Investment in existing water supply infrastructure,We are investing in maintaining and augmenting our on-site emergency power generation capabilities to address power supply interruptions.,"(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Declining water quality,Investment in existing water supply infrastructure,"Assuming no action is taken to address the contamination, the City would have to invest in expensive water treatment facilities to ensure potable water supply.","(43.55, 80.25)"
54084,City of Guelph,Guelph,Canada,North America,public,,2018,Higher water prices,Diversifying water supply (including new sources),The City is currently researching non-potable and potable water reuse systems.,"(43.55, 80.25)"
54109,City of Bloomington,Bloomington,United States of America,North America,public,,2018,Increased water demand,Investment in existing water supply infrastructure,Investments in proactive leak detection and water main replacement programs,"(39.1653, -86.5264)"
54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Actions under consideration (currently seeking public input):A water conservation strategy may include limits on car washing, landscape watering, and other outdoor water uses to balance water supply and demand. Scheduled lawn watering is key to a successful program. A recent survey shows that 53% of commercial and 68% of residential customers are willing to adjustlandscape watering practices to conserve water and delay expansion of the drinking water system.Public education and outreach are important elements for successful water conservation strategy.Audits and alternate pricing for irrigation and outdoor water use are also effective tools.Rebates or financial assistance could be provided for customers to use retrofit kits or replace plumbing fixtures and appliances in older housing stock, as well as commercial and industrial facilitiesRate structure incentives include seasonal pricing and increased rates for peak uses. Since 55% of the Columbia Water & Lightâ€™s water demands are generated by residential customers with an average per household water use of 145 gallons per day, focusing water conservation efforts on residential customers may yield better results.","(38.9517, -92.3341)"
54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,public,,2018,Declining water quality,Watershed preservation,"We must exercise caution with regard to land use in the McBaine bottoms area.Prior to selecting collector wells, additional testing and discussions with Missouri Department of Natural Resources (MDNR) should occur to determine the likelihood of being classified as Groundwater under the Direct Influence of Surface Water.","(38.9517, -92.3341)"
54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Actions under consideration: Alternatives for increasing raw water supply include expanding existing well fields using alternative groundwater sources and surface water from the Missouri River.Improvements and expansion of the current water treatment plant will be needed to continue to provide reliable supply and to handle the future demand.The Missouri River has enough water supply to meet the future water demands; however a different type of water treatment plant is needed to remove the sediment and pollutants/ contaminants in the water and treat it to meet drinking water specifications and regulations. Consequently this option is significantly more expensive than the other supply alternatives.,"(38.9517, -92.3341)"
54104,City of Boulder,Boulder,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Conservation awareness and education; Conservation incentives; Water use restrictions; Efficiency regulations or standards; Water metering; Municipal water efficiency retrofits; Diversifying water supply (including new sources); Investment in existing water supply infrastructure; Hydropower impact consideration.Overall, the city is well poised to weather shorter-term droughts.  Longer-term droughts or events (even if planned) that may temporarily take down one of the cityâ€™s two water treatment plants could have more significant impacts to city water usage; water restrictions; etc. The city has done a good job of long-term planning and drought mitigation with regards to storage capacity, water rights, water conservation efforts and dedicating in-stream flows which can be recalled in a severe drought.","(40.0274, -105.252)"
54104,City of Boulder,Boulder,United States of America,North America,public,,2018,NA,Watershed preservation,"Watershed preservation; Stormwater management (natural or man-made infrastructure); Flood Safety and Awareness Education; Emergency response team & processes; Municipal response systems and processes; Improved technology systems.The city experienced a major prolonged flood event in September, 2013. The cityâ€™s water treatment plant almost ceased to operate but because of adequate emergency responses and organized systems, backup plans alleviated the threat. The city mimics this type of response in all areas ranging from municipal responses (permitting, infrastructure maintenance and improvements, etc.) and emergency response (partnership development, technology, etc.)","(40.0274, -105.252)"
54104,City of Boulder,Boulder,United States of America,North America,public,,2018,Declining water quality,Conservation awareness and education,The city is implementing stormwater pollution prevention education and outreach; MS4 Compliance & Permit; Ongoing Monitoring; Partnership Development. The city continues to implement and enforce its MS4 permit which requires all values listed in the adaptation action column.,"(40.0274, -105.252)"
54104,City of Boulder,Boulder,United States of America,North America,public,,2018,NA,Municipal water efficiency retrofits,Received a DOE REDI grant to explore design and installation of renewable energy back-up system at one of two water treatment plants.,"(40.0274, -105.252)"
54108,City of Durham,"Durham, NC",United States of America,North America,public,,2018,Increased water stress or scarcity,Water use restrictions,We have on-going even-odd watering restrictions and also require water sensors on irrigation systems.,"(35.994, -78.8986)"
54108,City of Durham,"Durham, NC",United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"We have a division that focuses on conservation awareness and education. They give presentations, provide advice.  http://durhamnc.gov/1061/Durham-Saves-Water","(35.994, -78.8986)"
54108,City of Durham,"Durham, NC",United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation incentives,We have a tiered water fee structure so you pay more if you use more.,"(35.994, -78.8986)"
54108,City of Durham,"Durham, NC",United States of America,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,We have been replacing old water mains and just finished up a complete overhaul of our 100 year old water treatment plant. https://www.heraldsun.com/news/local/counties/durham-county/article178581816.html,"(35.994, -78.8986)"
54109,City of Bloomington,Bloomington,United States of America,North America,public,,2018,Increased water demand,Conservation awareness and education,City of Bloomington Utilities has a space on monthly bills for water conservation tips and provide free water conservation kits for residents,"(39.1653, -86.5264)"
54109,City of Bloomington,Bloomington,United States of America,North America,public,,2018,Increased water demand,Water metering,City of Bloomington Utilities meters all customers monthly,"(39.1653, -86.5264)"
54113,City of Flagstaff,Flagstaff,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Outreach to public on water conservation, handouts of low flow showerheads and faucet aerators. Rebates on low flow toilets.","(35.1992, -111.631)"
54113,City of Flagstaff,Flagstaff,United States of America,North America,public,,2018,Higher water prices,Use of non-potable water outside,"Non-potable water used in parks, ski hill, golf courses.","(35.1992, -111.631)"
54114,City of Asheville,Asheville,United States of America,North America,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,The City is in the midst of a 3 year project to fortify the North Fork reservoir. Planned modifications at North Fork include: raising the dam by 4'; improvements to the principal spillway and the addition of an auxiliary spillway; modifications to the raw water piping through the dam and to the water treatment plant; and earth buttressing to reinforce the main dame and saddle dam for seismic stability.,"(35.5951, -82.5515)"
54114,City of Asheville,Asheville,United States of America,North America,public,,2018,Increased water stress or scarcity,Diversifying water supply (including new sources),"The City built adaptive capacity by adding two supply points in addition to North Fork Reservoir, reducing our overall vulnerability to drought and disruption of supply.","(35.5951, -82.5515)"
54114,City of Asheville,Asheville,United States of America,North America,public,,2018,Increased water demand,Conservation awareness and education,"The City conducts a water education program about how water is used, how water is treated, why water is so important and the need to conserve this precious resource.  The City also worked in collaboration with state agencies to develop a website, My Water Matters that promotes three key messages:1. the value and cost of water2. the care of water is everybody's job3. water is a career that is exploding with opportunity. The City also provides free assessments to large industrial and commercial customers that summarizes water efficiency improvement opportunities, estimated cost of implementation and payback estimates.","(35.5951, -82.5515)"
54114,City of Asheville,Asheville,United States of America,North America,public,,2018,Increased water demand,Water use restrictions,"In adherence with the City's drought and flood management plants, the City imposes three phases of water conservation measures:Phase 1 Voluntary Measures: the City asks customers to conserve water as much as possible.Phase 2 Mandatory Measures: All customers must conserve water. No irrigation systems can be used, no watering lawns, no washing vehicles at home, reduce clothes washing, etc. Commercial customers are asked to conserve as much as possible while not impacting their revenue and employees' jobs.Phase 3 Surcharges Implemented:  Additional charges per unit of water (each 748 gallons) may be imposed to encourage water conservation. Current rate surcharge is $1.40 per unit of water.","(35.5951, -82.5515)"
54128,City of Reno,Reno,United States of America,North America,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Local water utility asked all of its customers to reduce water usage in 2015 by 10%, customers met this reduction and exceeded it by another 10%, so 20% in total water reduction.","(39.5296, -119.814)"
54128,City of Reno,Reno,United States of America,North America,public,,2018,NA,Stormwater management (natural or man-made infrastructure),The City has a low-impact development standard and promotes natural drainage.,"(39.5296, -119.814)"
54253,Wollongong City Council,Wollongong,Australia,Southeast Asia and Oceania,public,,2018,Increased water stress or scarcity,NA,NA,"(-34.4278, 150.893)"
54253,Wollongong City Council,Wollongong,Australia,Southeast Asia and Oceania,public,,2018,NA,NA,Flood Risk Management Studies and Plans developed and progressively implemented.,"(-34.4278, 150.893)"
54277,New Plymouth District Council,New Plymouth District,New Zealand,Southeast Asia and Oceania,public,,2018,Increased water demand,Water metering,"We are also doing the following. Implementing a demand management programme including education, leak detection, pressure reduction and universal water metering. Increasing storage capacity in some of our reservoirs. Increasing the capacity of some of our trunk mains. Finding a new and additional water source.","(-39.1011, 174.354)"
54277,New Plymouth District Council,New Plymouth District,New Zealand,Southeast Asia and Oceania,public,,2018,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Renewals: We use forecasting models to plan long-range renewal requirements. According to best practice we have adopted a risk based approach using criticality and condition assessments and failure mode analysis rather than age to prioritise what assets are to be renewed first. Prioritising replacement of critical assets reduces consequences of failure for the community, reserving money to pay for emergency renewals as they occur in less critical pipes. We then see less critical assets run to failure, achieving maximum life and value for money. Service disruption is limited to the repair of less critical assets at the time of failure. We have also grouped renewals geographically to maximise opportunities for procurement efficiencies and to minimise disruption to the community.Over the next 30 years our Infrastructure Strategy outlines the following investments to improve the resilience of our network:â€¢ More inspections and preventative maintenance.â€¢More back-up spare parts for critical equipment.â€¢Increase the number of backflow protection units on high risk properties.â€¢Enhanced scenario based planning and mitigation for weather events.â€¢Investigate options for improving the resilience of water sources.â€¢Upgrade our critical pipe bridges.â€¢Upgrade our three water supply and 30 wastewater pump stations to be more reliable.â€¢Design back up options for parts of our water supply network that only have one pipe.","(-39.1011, 174.354)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Increased water stress or scarcity,Conservation awareness and education,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Increased water stress or scarcity,Conservation incentives,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Increased water stress or scarcity,Water use restrictions,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Increased water stress or scarcity,Efficiency regulations or standards,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Higher water prices,Water use restrictions,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Higher water prices,Efficiency regulations or standards,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Higher water prices,Water metering,NA,"(38.9389, 121.567)"
54298,Dalian Municipal People's Government,Dalian,China,East Asia,public,C40,2018,Higher water prices,Municipal water efficiency retrofits,NA,"(38.9389, 121.567)"
54337,Greater Amman Municipality,Amman,Jordan,Middle East,public,C40,2018,Increased water stress or scarcity,Use of non-potable water outside,"Non-potable water is  used for cleaning areas around municipality buildings, and watering plants around the municipality buildings, in parks belonging to the municipality and along the streets within the city.","(31.9454, 35.9284)"
54337,Greater Amman Municipality,Amman,Jordan,Middle East,public,C40,2018,Increased water stress or scarcity,Water use restrictions,"Water is supplied only at certain times of the week, so water supply is constrained by capacity of wells/ tanks for each building.","(31.9454, 35.9284)"
54337,Greater Amman Municipality,Amman,Jordan,Middle East,public,C40,2018,Increased water stress or scarcity,Water metering,All water supplies are metered and charged accordingly to encourage reduction in use.,"(31.9454, 35.9284)"
54337,Greater Amman Municipality,Amman,Jordan,Middle East,public,C40,2018,Increased water demand,Efficiency regulations or standards,"Miyuhana (the water company which supervises and manages the water distribution to the city) has been putting in place projects to reduce amount of water loss or non-revenue water, which comprises a large percentage of the water supplied.","(31.9454, 35.9284)"
54388,Iskandar Regional Development Authority,Iskandar,Malaysia,Southeast Asia and Oceania,public,,2018,Increased water stress or scarcity,Watershed preservation,Management plans for watershed and catchment areas as well as conservation awareness and incentive may be necessary.,"(5.71447, 100.992)"
54389,Taichung City Government,Taichung,"Taiwan, Greater China",East Asia,public,,2018,Increased water stress or scarcity,Conservation awareness and education,Promotion for the use of water saving devices. Collection of rain water for irrigation and street cleaning.,"(24.1619, 120.647)"
54402,City of Lahti,Lahti,Finland,Europe,public,,2018,Declining water quality,Water metering,Continous monitoring of water at water stations and bi-annual monitoring of ground water through ground water aquifers. Building nature-based strom water systems. Ground water protection measures in urban areas both in land-use planning and in construction.,"(60.9833, 25.65)"
54402,City of Lahti,Lahti,Finland,Europe,public,,2018,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),Being prepared for future climatic conditions. Investing more to the operational security of the sewage system. Building nature-based strom water systems.,"(60.9833, 25.65)"
54402,City of Lahti,Lahti,Finland,Europe,public,,2018,Increased water stress or scarcity,Watershed preservation,Preserving natural environment and biodiversity in urban areas. Demonstrating leadership. Environmental advising. Increasing precipitation is taken into account in dimensioning in land-use planning and in construction. Protection measures of surface waters.,"(60.9833, 25.65)"
54457,Hansestadt Rostock,Rostock,Germany,Europe,public,,2018,NA,Stormwater management (natural or man-made infrastructure),construction of flood protection walls,"(54.0887, 12.1405)"
54459,City of ReykjavÃ­k,ReykjavÃ­k,Iceland,Europe,public,,2018,Increased water stress or scarcity,Conservation awareness and education,"Veitur, the community-owned utility company, has put up new signs within the water protection areas to inform the public on the importance of keeping the areas clean and prevent pollution. Local planning for the area will be finished and restrictions set on land use and and public traffic and more environmental friendly ways of using the adjoining nature reserve will be promoted.All use of summerhouses within water protection areas will be stopped.","(64.1265, -21.8174)"
54459,City of ReykjavÃ­k,ReykjavÃ­k,Iceland,Europe,public,,2018,Increased water stress or scarcity,Watershed preservation,"Protection of drinking water in ReykjavÃ­k is a joint responsibility of the municipalities in the capital area, and an executive board of the Public Health Authorities in the capital area has been established, with representatives from all the participating municipalities, to deal with issues relating to the water protection areas. An ordinance on the protection of the groundwater catchment zone for the capital area from 1997 was an important step towards protecting the drinking water of the residents of the capital; the ordinance aimed among other things to ensure maximum quality of drinking water in the capital area for the future by preventing undesirable effects caused by any activity, trade or business on the water protection areas and their catchment area. In 2010 the ordinance was revised and a new ordinance issued in 2015 that sets stricter rules on land use and activities. A new and improved definition map of the water protection areas was issued the same year as a part of the Regional Plan for The Capital Area. The Public Health Authority is responsible for implementing the ordinance. Public Health Inspectors monitor the areas every year and take action if something is not in compliance with the ordinance. Regular monitoring of the water level shows that it has never gone below the criterion in the last decade. The reservoirs are under strict quality control, enforced by Veitur in compliance with their monitoring systems and by the Public Health Authorities in ReykjavÃ­k and neighbouring communities. The Public Health authorities take samples from all of the water utilities for microbial and chemical analysis.","(64.1265, -21.8174)"
54459,City of ReykjavÃ­k,ReykjavÃ­k,Iceland,Europe,public,,2018,Declining water quality,Conservation awareness and education,"Public Health Inspectors monitor the areas every year and take action if something is not in compliance with the ordinance. Veitur have in recent years increased quality control and risk management on all work done on their behalf in the area.  Furthermore, all leases on old summerhouses in the areas have been cancelled and abandoned houses have removed when possible.Veitur has set up an informative website where it promotes ways for the public to save water. Domestic water use is not subject to metering, it accounts for 50% water use in the city. Water use by industry and businesses is metered.","(64.1265, -21.8174)"
54459,City of ReykjavÃ­k,ReykjavÃ­k,Iceland,Europe,public,,2018,Declining water quality,Diversifying water supply (including new sources),This year Veitur will start using new boreholes in the area.,"(64.1265, -21.8174)"
